                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2375,                 1.7726,                 1.4071,                 0.6583,                0.74962,                0.76012,                0.50757,                 1.0692,                 4.3798,                   1.36,                0.00064,                0.00064,                0.00064
                      2,                 1.0585,                0.81877,                 1.2261,                0.00016,                 0.0214,                  6e-05,                  3e-05,                 6.3511,                    inf,                 1866.2,              0.0012678,              0.0012678,              0.0012678
                      3,                 1.0276,                0.72563,                  1.241,                0.00016,                 0.0214,                  6e-05,                  3e-05,                 4.6889,                    inf,                 146.85,               0.001863,               0.001863,               0.001863
                      4,                 1.0457,                0.70625,                 1.1807,                0.11658,                0.00973,                0.00581,                0.00255,                0.91405,                 16.982,                0.90649,              0.0018515,              0.0018515,              0.0018515
                      5,                0.96686,                0.63778,                 1.1782,                0.90761,                0.58366,                0.62507,                0.42083,                 1.7494,                 5.3892,                 2.1299,              0.0018515,              0.0018515,              0.0018515
                      6,                0.95155,                0.63831,                  1.182,                0.03688,                0.17704,                0.01248,                0.00688,                  2.668,                 16.248,                 2.9414,               0.001802,               0.001802,               0.001802
                      7,                0.91762,                0.57613,                 1.1398,                0.77171,                0.40661,                0.43825,                0.32712,                 1.8018,                 2.3006,                 1.9454,              0.0017525,              0.0017525,              0.0017525
                      8,                 0.9529,                0.59724,                 1.1796,                0.79595,                0.71335,                  0.841,                  0.608,                 1.0116,                0.97102,                 1.3385,               0.001703,               0.001703,               0.001703
                      9,                0.91897,                0.54782,                 1.1437,                0.97073,                0.96795,                0.98825,                0.78652,                0.79879,                0.52156,                 1.1897,              0.0016535,              0.0016535,              0.0016535
                     10,                0.85815,                0.53389,                 1.1112,                0.68585,                0.98054,                0.69253,                0.56057,                0.74619,                 1.0668,                 1.1136,               0.001604,               0.001604,               0.001604
                     11,                0.88667,                0.53864,                 1.1158,                 0.9472,                0.70428,                0.82238,                 0.6333,                 1.0029,                 1.0338,                 1.3009,              0.0015545,              0.0015545,              0.0015545
                     12,                0.89699,                0.53167,                 1.1318,                0.96967,                0.85019,                0.91004,                0.68381,                0.90861,                 1.4852,                 1.2407,               0.001505,               0.001505,               0.001505
                     13,                0.85988,                0.49122,                 1.0893,                0.99966,                      1,                  0.995,                0.81757,                0.73464,                0.38595,                 1.1049,              0.0014555,              0.0014555,              0.0014555
                     14,                0.86847,                0.50125,                  1.097,                0.99947,                0.99611,                  0.995,                0.80805,                0.73133,                0.37965,                 1.1067,               0.001406,               0.001406,               0.001406
                     15,                0.85475,                0.48657,                 1.0942,                0.99033,                0.99668,                0.99484,                0.82146,                0.70891,                0.37788,                 1.0804,              0.0013565,              0.0013565,              0.0013565
                     16,                0.85961,                0.47696,                 1.0968,                      1,                0.99966,                  0.995,                0.82858,                0.70308,                0.36413,                  1.086,               0.001307,               0.001307,               0.001307
                     17,                0.80144,                0.45057,                 1.0744,                      1,                0.98001,                0.99466,                0.84012,                0.67378,                0.36481,                 1.0561,              0.0012575,              0.0012575,              0.0012575
                     18,                 0.7769,                0.42215,                 1.0647,                0.99915,                      1,                  0.995,                0.82341,                 0.6893,                0.35862,                  1.061,               0.001208,               0.001208,               0.001208
                     19,                0.79027,                 0.4328,                  1.059,                0.99976,                      1,                  0.995,                0.83541,                0.68824,                0.35206,                 1.0672,              0.0011585,              0.0011585,              0.0011585
                     20,                0.78971,                0.43286,                 1.0668,                      1,                0.99988,                  0.995,                0.83525,                0.68254,                0.32684,                 1.0669,               0.001109,               0.001109,               0.001109
                     21,                0.76296,                0.40586,                 1.0552,                 0.9961,                0.99379,                0.99496,                0.83245,                0.66309,                0.32986,                 1.0503,              0.0010595,              0.0010595,              0.0010595
                     22,                0.78206,                 0.4117,                 1.0517,                0.99963,                      1,                  0.995,                0.84486,                0.66426,                0.31893,                 1.0386,                0.00101,                0.00101,                0.00101
                     23,                0.77918,                0.40556,                 1.0614,                0.99912,                      1,                  0.995,                0.84194,                0.66473,                0.32189,                 1.0408,              0.0009605,              0.0009605,              0.0009605
                     24,                0.78186,                0.43403,                 1.0875,                0.99956,                      1,                  0.995,                 0.8411,                0.67014,                0.29567,                 1.0499,               0.000911,               0.000911,               0.000911
